Time;Wavelength ;Absorbance;
0;190 nm;17.67;
0;205 nm;11.19;
0;220 nm;4.81;
0;235 nm;0.93;
0;250 nm;0.65;
0;265 nm;0.57;
0;280 nm;0.42;
0;295 nm;0.43;
0;310 nm;0.27;
0;325 nm;0.26;
0;340 nm;0.3;
0;355 nm;0.31;
0;370 nm;0.23;
0;385 nm;0.21;
0;405 nm;0.16;
0;415 nm;0.23;
0;430 nm;0.14;
0;450 nm;0.1;
0;460 nm;0.13;
0;475 nm;0.08;
0;492 nm;0.17;
0;505 nm;0.15;
0;520 nm;0.14;
0;535 nm;0.15;
0;550 nm;0.22;
0;565 nm;0.17;
0;580 nm;0.18;
0;595 nm;0.21;
0;610 nm;0.2;
0;625 nm;0.23;
0;640 nm;0.08;
0;655 nm;0.17;
0;670 nm;0.16;
0;685 nm;0.47;
0;700 nm;0.19;
0;715 nm;0.05;
0;730 nm;0.15;
0;745 nm;0.17;
0;760 nm;0.07;
0;850 nm;-0.21;
5;190 nm;17.15;
5;205 nm;10.91;
5;220 nm;4.58;
5;235 nm;0.9;
5;250 nm;0.52;
5;265 nm;0.42;
5;280 nm;0.32;
5;295 nm;0.33;
5;310 nm;0.24;
5;325 nm;0.27;
5;340 nm;0.29;
5;355 nm;0.24;
5;370 nm;0.28;
5;385 nm;0.25;
5;405 nm;0.24;
5;415 nm;0.23;
5;430 nm;0.15;
5;450 nm;0.13;
5;460 nm;0.17;
5;475 nm;0.12;
5;492 nm;0.22;
5;505 nm;0.16;
5;520 nm;0.22;
5;535 nm;0.1;
5;550 nm;0.27;
5;565 nm;0.13;
5;580 nm;0.16;
5;595 nm;0.26;
5;610 nm;0.21;
5;625 nm;0.24;
5;640 nm;0.15;
5;655 nm;0.19;
5;670 nm;0.35;
5;685 nm;0.37;
5;700 nm;0.31;
5;715 nm;0.04;
5;730 nm;0.28;
5;745 nm;0.24;
5;760 nm;0.22;
5;850 nm;0.06;
10;190 nm;17.99;
10;205 nm;11.1;
10;220 nm;4.93;
10;235 nm;1.2;
10;250 nm;0.87;
10;265 nm;0.76;
10;280 nm;0.52;
10;295 nm;0.44;
10;310 nm;0.5;
10;325 nm;0.54;
10;340 nm;0.64;
10;355 nm;0.53;
10;370 nm;0.59;
10;385 nm;0.61;
10;405 nm;0.43;
10;415 nm;0.56;
10;430 nm;0.51;
10;450 nm;0.4;
10;460 nm;0.37;
10;475 nm;0.51;
10;492 nm;0.42;
10;505 nm;0.5;
10;520 nm;0.43;
10;535 nm;0.36;
10;550 nm;0.56;
10;565 nm;0.5;
10;580 nm;0.53;
10;595 nm;0.53;
10;610 nm;0.53;
10;625 nm;0.53;
10;640 nm;0.38;
10;655 nm;0.45;
10;670 nm;0.49;
10;685 nm;0.66;
10;700 nm;0.46;
10;715 nm;0.4;
10;730 nm;0.54;
10;745 nm;0.5;
10;760 nm;0.52;
10;850 nm;0.31;
15;190 nm;18.51;
15;205 nm;11.73;
15;220 nm;5.27;
15;235 nm;1.45;
15;250 nm;1.13;
15;265 nm;1.17;
15;280 nm;0.9;
15;295 nm;0.79;
15;310 nm;0.67;
15;325 nm;0.68;
15;340 nm;0.82;
15;355 nm;0.72;
15;370 nm;0.67;
15;385 nm;0.64;
15;405 nm;0.51;
15;415 nm;0.63;
15;430 nm;0.56;
15;450 nm;0.46;
15;460 nm;0.45;
15;475 nm;0.56;
15;492 nm;0.46;
15;505 nm;0.53;
15;520 nm;0.52;
15;535 nm;0.43;
15;550 nm;0.59;
15;565 nm;0.56;
15;580 nm;0.6;
15;595 nm;0.54;
15;610 nm;0.55;
15;625 nm;0.62;
15;640 nm;0.55;
15;655 nm;0.73;
15;670 nm;0.53;
15;685 nm;0.64;
15;700 nm;0.44;
15;715 nm;0.47;
15;730 nm;0.55;
15;745 nm;0.74;
15;760 nm;0.75;
15;850 nm;0.76;
20;190 nm;16.86;
20;205 nm;10.59;
20;220 nm;4.34;
20;235 nm;0.69;
20;250 nm;0.3;
20;265 nm;0.32;
20;280 nm;0.26;
20;295 nm;0.31;
20;310 nm;0.19;
20;325 nm;0.21;
20;340 nm;0.23;
20;355 nm;0.19;
20;370 nm;0.13;
20;385 nm;0.15;
20;405 nm;0.14;
20;415 nm;0.2;
20;430 nm;0.17;
20;450 nm;0.08;
20;460 nm;0.09;
20;475 nm;0.14;
20;492 nm;0.11;
20;505 nm;0.14;
20;520 nm;0.14;
20;535 nm;0.1;
20;550 nm;0.2;
20;565 nm;0.13;
20;580 nm;0.18;
20;595 nm;0.09;
20;610 nm;0.26;
20;625 nm;0.15;
20;640 nm;-0.08;
20;655 nm;0.12;
20;670 nm;0.17;
20;685 nm;0.33;
20;700 nm;0.15;
20;715 nm;0.06;
20;730 nm;0.19;
20;745 nm;0.17;
20;760 nm;0.23;
20;850 nm;-0.13;
25;190 nm;17.43;
25;205 nm;11.22;
25;220 nm;4.75;
25;235 nm;1.06;
25;250 nm;0.65;
25;265 nm;0.72;
25;280 nm;0.5;
25;295 nm;0.41;
25;310 nm;0.34;
25;325 nm;0.31;
25;340 nm;0.34;
25;355 nm;0.28;
25;370 nm;0.27;
25;385 nm;0.25;
25;405 nm;0.24;
25;415 nm;0.31;
25;430 nm;0.21;
25;450 nm;0.18;
25;460 nm;0.18;
25;475 nm;0.18;
25;492 nm;0.23;
25;505 nm;0.18;
25;520 nm;0.23;
25;535 nm;0.19;
25;550 nm;0.29;
25;565 nm;0.21;
25;580 nm;0.2;
25;595 nm;0.23;
25;610 nm;0.36;
25;625 nm;0.25;
25;640 nm;0.06;
25;655 nm;0.17;
25;670 nm;0.34;
25;685 nm;0.43;
25;700 nm;0.31;
25;715 nm;0.14;
25;730 nm;0.26;
25;745 nm;0.29;
25;760 nm;0.32;
25;850 nm;0.28;
30;190 nm;17.27;
30;205 nm;11.15;
30;220 nm;4.71;
30;235 nm;0.88;
30;250 nm;0.64;
30;265 nm;0.47;
30;280 nm;0.4;
30;295 nm;0.38;
30;310 nm;0.27;
30;325 nm;0.35;
30;340 nm;0.32;
30;355 nm;0.26;
30;370 nm;0.26;
30;385 nm;0.36;
30;405 nm;0.24;
30;415 nm;0.3;
30;430 nm;0.26;
30;450 nm;0.24;
30;460 nm;0.24;
30;475 nm;0.18;
30;492 nm;0.25;
30;505 nm;0.27;
30;520 nm;0.28;
30;535 nm;0.23;
30;550 nm;0.29;
30;565 nm;0.26;
30;580 nm;0.21;
30;595 nm;0.19;
30;610 nm;0.35;
30;625 nm;0.29;
30;640 nm;0.18;
30;655 nm;0.23;
30;670 nm;0.28;
30;685 nm;0.18;
30;700 nm;0.31;
30;715 nm;0.16;
30;730 nm;0.15;
30;745 nm;0.28;
30;760 nm;0.41;
30;850 nm;0.13;
35;190 nm;17.57;
35;205 nm;10.99;
35;220 nm;5.01;
35;235 nm;1.13;
35;250 nm;0.82;
35;265 nm;0.77;
35;280 nm;0.56;
35;295 nm;0.52;
35;310 nm;0.58;
35;325 nm;0.64;
35;340 nm;0.72;
35;355 nm;0.63;
35;370 nm;0.61;
35;385 nm;0.59;
35;405 nm;0.55;
35;415 nm;0.7;
35;430 nm;0.64;
35;450 nm;0.48;
35;460 nm;0.51;
35;475 nm;0.57;
35;492 nm;0.54;
35;505 nm;0.61;
35;520 nm;0.55;
35;535 nm;0.48;
35;550 nm;0.64;
35;565 nm;0.61;
35;580 nm;0.68;
35;595 nm;0.59;
35;610 nm;0.7;
35;625 nm;0.65;
35;640 nm;0.41;
35;655 nm;0.63;
35;670 nm;0.52;
35;685 nm;0.69;
35;700 nm;0.48;
35;715 nm;0.51;
35;730 nm;0.5;
35;745 nm;0.64;
35;760 nm;0.53;
35;850 nm;0.38;
40;190 nm;17.4;
40;205 nm;11;
40;220 nm;4.49;
40;235 nm;0.76;
40;250 nm;0.43;
40;265 nm;0.37;
40;280 nm;0.3;
40;295 nm;0.3;
40;310 nm;0.23;
40;325 nm;0.29;
40;340 nm;0.22;
40;355 nm;0.23;
40;370 nm;0.32;
40;385 nm;0.23;
40;405 nm;0.17;
40;415 nm;0.3;
40;430 nm;0.24;
40;450 nm;0.13;
40;460 nm;0.23;
40;475 nm;0.18;
40;492 nm;0.22;
40;505 nm;0.25;
40;520 nm;0.21;
40;535 nm;0.12;
40;550 nm;0.31;
40;565 nm;0.2;
40;580 nm;0.23;
40;595 nm;0.19;
40;610 nm;0.32;
40;625 nm;0.24;
40;640 nm;0.11;
40;655 nm;0.16;
40;670 nm;0.3;
40;685 nm;0.24;
40;700 nm;0.33;
40;715 nm;0.18;
40;730 nm;0.14;
40;745 nm;0.27;
40;760 nm;0.35;
40;850 nm;0.12;
45;190 nm;17.53;
45;205 nm;11.04;
45;220 nm;4.73;
45;235 nm;0.92;
45;250 nm;0.69;
45;265 nm;0.59;
45;280 nm;0.49;
45;295 nm;0.46;
45;310 nm;0.47;
45;325 nm;0.53;
45;340 nm;0.59;
45;355 nm;0.5;
45;370 nm;0.51;
45;385 nm;0.55;
45;405 nm;0.49;
45;415 nm;0.58;
45;430 nm;0.56;
45;450 nm;0.46;
45;460 nm;0.46;
45;475 nm;0.48;
45;492 nm;0.45;
45;505 nm;0.52;
45;520 nm;0.46;
45;535 nm;0.4;
45;550 nm;0.51;
45;565 nm;0.52;
45;580 nm;0.51;
45;595 nm;0.41;
45;610 nm;0.48;
45;625 nm;0.52;
45;640 nm;0.48;
45;655 nm;0.57;
45;670 nm;0.5;
45;685 nm;0.53;
45;700 nm;0.3;
45;715 nm;0.5;
45;730 nm;0.41;
45;745 nm;0.71;
45;760 nm;0.63;
45;850 nm;0.36;
